latitude,longitude,altitude(m),heading(deg),curvesize(%),rotationdir,gimbalpitch,altitudemode,speed(m/s),actions
-1.27674765,36.81818313,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27649640,36.81818313,75.00,0.00,0,0,-90,0,15.00,0(0)
-1.27650000,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27675125,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27700249,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27725374,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27750499,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27775623,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27800748,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27825872,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27850997,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27876122,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27901246,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27926371,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27951496,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.27976620,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.28001745,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.28026870,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.28051994,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.28077119,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.28102244,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.28127368,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.28152493,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.28177617,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.28202742,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.28227867,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.28252991,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.28278116,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.28303241,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.28328365,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.28353490,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.28378615,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.28403739,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.28428864,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.28453989,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
-1.28479113,36.81843865,75.00,180.00,0,0,-90,0,15.00,0(0)
